Mar 28, 2016 9:46:47 PM client.main.Catan d
INFO: Catan Client started at 2016-03-28_21-46-47.
Mar 28, 2016 9:47:02 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:47:05 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:47:08 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:47:11 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:47:14 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:47:17 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:47:20 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:47:23 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:47:26 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:47:29 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:47:32 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:47:35 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:47:38 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:47:41 PM he a
FINE: ModelInitializer was called with null JSON.
