Mar 28, 2016 8:57:22 PM client.main.Catan d
INFO: Catan Client started at 2016-03-28_20-57-22.
Mar 28, 2016 8:57:38 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 8:57:41 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 8:57:44 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 8:57:47 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 8:57:50 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 8:57:53 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 8:57:56 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 8:57:59 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 8:58:02 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 8:58:05 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 8:58:08 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 8:58:11 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 8:58:14 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 8:58:17 PM he a
FINE: ModelInitializer was called with null JSON.
