Mar 28, 2016 9:44:23 PM client.main.Catan d
INFO: Catan Client started at 2016-03-28_21-44-23.
Mar 28, 2016 9:44:38 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:44:41 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:44:44 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:44:47 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:44:50 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:44:53 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:44:56 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:44:59 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:02 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:05 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:08 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:11 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:14 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:17 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:20 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:23 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:26 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:29 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:32 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:35 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:38 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:41 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:44 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:47 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:50 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:53 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:56 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:45:59 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:46:02 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:46:05 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:46:08 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:46:11 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:46:14 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:46:17 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:46:20 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:46:23 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:46:26 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:46:29 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:46:32 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:46:35 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 9:46:38 PM he a
FINE: ModelInitializer was called with null JSON.
