Mar 28, 2016 10:26:30 PM client.main.Catan d
INFO: Catan Client started at 2016-03-28_22-26-30.
Mar 28, 2016 10:26:41 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 10:26:44 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 10:26:47 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 10:26:50 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 10:26:53 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 10:26:56 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 10:26:59 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 10:27:02 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 10:27:05 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 10:27:08 PM he a
FINE: ModelInitializer was called with null JSON.
Mar 28, 2016 10:27:11 PM he a
FINE: ModelInitializer was called with null JSON.
